source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TMT,466599,โรต้าลาบอเร็ทตอรี่ส์,UFACIN,"(thiamphenicol 500 mg) capsule, hard, 1 capsule",โรต้าลาบอเร็ทตอรี่ส์,ACTIVE
TMT,466612,โรต้าลาบอเร็ทตอรี่ส์,UFACIN 250,"(thiamphenicol 250 mg) capsule, hard, 1 capsule",โรต้าลาบอเร็ทตอรี่ส์,ACTIVE
TMT,599301,ยูโทเปี้ยน,UFACLOR,"(cefaclor 125 mg/5 mL) powder for syrup, 60 mL bottle",ยูโทเปี้ยน,ACTIVE
TMT,466631,ยูโทเปี้ยน,UFACLOR 250,"(cefaclor 250 mg) capsule, hard, 1 capsule",ยูโทเปี้ยน,ACTIVE
TMT,466654,ยูโทเปี้ยน,UFACLOR 500,"(cefaclor 500 mg) capsule, hard, 1 capsule",ยูโทเปี้ยน,ACTIVE
TMT,599329,ยูโทเปี้ยน,UFACLOR FORTE,"(cefaclor 250 mg/5 mL) powder for syrup, 60 mL bottle",ยูโทเปี้ยน,ACTIVE
TMT,119139,นิวไลฟ์ฟาร์ม่า,UFENAC,"(diclofenac sodium 25 mg) gastro-resistant tablet, 1 tablet",นิวไลฟ์ฟาร์ม่า,ACTIVE
TMT,466677,ยูเมด้า,U-FLOX-200,"(norfloxacin 200 mg) film-coated tablet, 1 tablet",ยูเมด้า,ACTIVE
TMT,466696,ยูเมด้า,U-FLOX-400,"(norfloxacin 400 mg) film-coated tablet, 1 tablet",ยูเมด้า,ACTIVE
TMT,149995,"LABORATORIOS MIQUEL, SPAIN",UFT,"(tegafur 100 mg + uracil 224 mg) capsule, hard, 1 capsule","LABORATORIOS MIQUEL, SPAIN",ACTIVE
TMT,150003,"TTY BIOPHARM, TAIWAN",UFUR,"(tegafur 100 mg + uracil 224 mg) capsule, hard, 1 capsule","TTY BIOPHARM, TAIWAN",ACTIVE
